pl_name,hostname,disc_facility,pl_orbper,pl_rade,st_teff,st_rad,st_lum,st_mass
TOI-5489 b,TOI-5489,Transiting Exoplanet Survey Satellite (TESS),3.15222,1.4,3547.0,0.42,-1.60776,0.41
Kepler-405 b,Kepler-405,Kepler,10.613839,2.08,5818.0,0.893,-0.33143,0.873
Kepler-1471 b,Kepler-1471,Kepler,3.63899398,1.41,5660.0,0.93,-0.19895,0.95
Kepler-129 b,Kepler-129,Kepler,15.79,2.4,5770.0,1.653,0.46365,1.178
Kepler-1515 b,Kepler-1515,Kepler,214.3114164,9.55,6511.0,1.41,0.56587,1.3
Kepler-1723 b,Kepler-1723,Kepler,39.75289917,2.88046569,6072.0,1.01,0.03393,0.96
Kepler-1176 b,Kepler-1176,Kepler,24.1738579,2.45,5844.0,1.02,-0.11691,1.01
Kepler-1783 b,Kepler-1783,Kepler,8.277440071,1.31946731,5129.0,1.781,-0.45102,0.887
TOI-6255 b,TOI-6255,Transiting Exoplanet Survey Satellite (TESS),0.23818244,1.079,3421.0,0.37,-1.77344,0.353
TOI-157 b,TOI-157,Transiting Exoplanet Survey Satellite (TESS),2.0845435,14.414774,5404.0,1.167,0.01995,0.948
Kepler-1421 b,Kepler-1421,Kepler,6.9131112,0.93,6335.0,1.42,0.59941,1.25
Kepler-1442 b,Kepler-1442,Kepler,81.4162941,3.93,6394.0,1.44,0.65109,1.34
Kepler-414 b,Kepler-414,Kepler,4.7,1.71,5536.0,0.946,-0.16917,0.89
Kepler-109 c,Kepler-109,Kepler,21.22265,2.65,5950.0,1.387,0.34654,1.094
TOI-712 c,TOI-712,Transiting Exoplanet Survey Satellite (TESS),51.69906,2.701,4622.0,0.674,-0.72793,0.732
Kepler-348 c,Kepler-348,Kepler,17.265427,1.33,6177.0,1.359,0.4331,1.189
Kepler-1200 b,Kepler-1200,Kepler,1.118549717,1.06,4612.0,0.7,-0.68923,0.74
TOI-1130 c,TOI-1130,Transiting Exoplanet Survey Satellite (TESS),8.3501898,13.0,4360.0,0.697,-0.85387,0.745
TOI-1516 b,TOI-1516,Transiting Exoplanet Survey Satellite (TESS),2.056014,15.24421375,6520.0,1.14,0.39065,1.14
HD 101581 b,HIP 56998,Transiting Exoplanet Survey Satellite (TESS),4.46569,0.956,4675.0,0.63,-0.78186,0.653
Kepler-698 b,Kepler-698,Kepler,16.32976218,3.68,5612.0,0.91,0.38841,0.94
TOI-663 b,TOI-663,Transiting Exoplanet Survey Satellite (TESS),2.598902,2.27,3681.0,0.512,-1.37033,0.514
TOI-1259 A b,TOI-1259 A,Transiting Exoplanet Survey Satellite (TESS),3.477978,11.45557828,4775.0,0.711,-0.58996,0.744
TOI-150.01,TOI-150,Transiting Exoplanet Survey Satellite (TESS),5.857487,14.067295,6255.0,1.526,0.49651,1.351
TOI-2107 b,TOI-2107,Transiting Exoplanet Survey Satellite (TESS),2.4545467,13.57407563,5627.0,0.932,-0.10458,0.961
Kepler-1321 b,Kepler-1321,Kepler,11.12830484,4.92,4094.0,0.53,-0.8624,0.54
Kepler-1195 b,Kepler-1195,Kepler,8.49642241,2.08,4965.0,0.71,-0.44607,0.74
Kepler-739 b,Kepler-739,Kepler,12.53248465,3.32,5601.0,0.9,0.01798,0.93
TOI-1248 b,TOI-1248,Transiting Exoplanet Survey Satellite (TESS),4.3601561,6.8084859,5205.0,0.8686,-0.30016,0.9042
TOI-4465 b,TOI-4465,Transiting Exoplanet Survey Satellite (TESS),101.94054,14.01122587,5545.0,1.014,-0.07267,0.93
TOI-2345 b,TOI-2345,Transiting Exoplanet Survey Satellite (TESS),1.0528573,1.504,4687.0,0.729,-0.63639,0.727
LP 890-9 b,LP 890-9,Transiting Exoplanet Survey Satellite (TESS),2.7299025,1.32,2850.0,0.1556,-2.84134,0.118
AU Mic b,AU Mic,Transiting Exoplanet Survey Satellite (TESS),8.46308,3.95677019,3678.0,0.744,-1.0381,0.51
AU Mic c,AU Mic,Transiting Exoplanet Survey Satellite (TESS),18.85969,2.52202066,3678.0,0.744,-1.0381,0.51
TOI-1136 g,TOI-1136,Transiting Exoplanet Survey Satellite (TESS),39.545,2.53,5770.0,0.968,-0.02687,1.022
TOI-5232 b,TOI-5232,Transiting Exoplanet Survey Satellite (TESS),4.0966692,12.778238,6500.0,1.785,0.71265,1.389
TOI-912 b,TOI-912,Transiting Exoplanet Survey Satellite (TESS),4.6780691,1.93,3572.0,0.419,-1.59007,0.418
